date,pr,srad,tmax,tmin,vp,q,basin_id,average_pr,average_q,average_tmax,average_tmin
2007-11-25,0.0,157.84,-3.95,-11.66,252.9,1.61,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2007-11-26,0.0,169.85,1.4,-7.32,347.81,1.65,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2007-11-27,14.79,93.99,3.15,-2.66,506.28,3.61,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2007-11-28,0.0,191.01,3.61,-7.01,361.12,3.67,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2007-11-29,0.0,131.68,-4.28,-10.45,277.48,2.51,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2007-11-30,1.97,189.12,1.61,-8.34,329.49,1.8,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2007-12-01,0.06,201.17,-1.09,-11.44,255.88,1.54,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2007-12-02,0.0,135.01,-10.23,-15.91,180.0,1.34,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2007-12-03,7.57,126.86,-6.94,-14.48,204.22,1.38,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2007-12-04,13.99,105.86,-4.44,-10.42,275.99,1.24,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2007-12-05,0.48,164.01,-5.04,-12.42,239.97,1.12,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2007-12-06,0.0,202.66,-4.84,-15.06,200.0,1.02,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2007-12-07,0.0,198.79,-7.41,-17.73,159.55,0.93,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2007-12-08,0.0,216.94,-5.35,-17.87,149.79,0.84,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2007-12-09,0.0,223.74,-0.56,-15.54,184.31,0.77,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2007-12-10,0.0,166.82,-8.38,-16.49,173.82,0.71,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2007-12-11,0.0,199.05,-4.39,-15.9,173.26,0.65,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2007-12-12,2.91,156.62,-1.77,-13.77,206.83,0.63,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2007-12-13,0.16,226.94,1.0,-17.72,160.0,0.6,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2007-12-14,5.04,117.58,-10.65,-18.34,147.04,0.57,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2007-12-15,1.05,219.23,-3.1,-18.41,144.02,0.56,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2007-12-16,5.63,108.72,-12.82,-19.59,133.7,0.55,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2007-12-17,23.65,136.35,-7.46,-17.16,164.38,0.71,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2007-12-18,0.0,140.99,-11.06,-17.7,153.4,0.82,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2007-12-19,0.0,177.5,-9.05,-17.89,155.41,0.84,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2007-12-20,6.23,76.81,-7.04,-11.52,245.75,0.82,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2007-12-21,2.02,157.96,-6.54,-14.3,200.58,0.79,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2007-12-22,0.0,212.74,-6.37,-19.16,144.51,0.94,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2007-12-23,0.0,227.2,-1.8,-18.47,145.15,1.55,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2007-12-24,16.36,145.64,8.23,-3.62,470.16,2.94,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2007-12-25,0.0,89.51,-0.3,-4.5,440.88,4.07,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2007-12-26,0.0,147.93,0.7,-7.02,360.25,2.97,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2007-12-27,0.0,124.99,0.63,-5.54,406.96,2.32,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2007-12-28,4.73,68.55,-1.19,-5.27,414.7,1.88,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2007-12-29,11.36,62.88,-1.49,-5.21,416.5,1.69,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2007-12-30,3.03,80.36,0.62,-4.16,451.71,1.37,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2007-12-31,6.3,105.36,-0.19,-6.56,376.22,0.99,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-01-01,6.61,106.16,-3.18,-10.56,274.87,0.92,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-01-02,14.35,105.55,-3.74,-10.86,266.88,1.0,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-01-03,0.0,231.66,-8.07,-22.82,95.72,0.92,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-01-04,0.0,179.03,-16.81,-26.38,80.0,0.87,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-01-05,0.0,239.99,-5.58,-21.32,112.97,0.99,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-01-06,0.0,98.51,-2.91,-7.53,349.48,1.23,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-01-07,0.0,146.45,1.2,-6.06,393.21,1.54,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-01-08,0.0,160.55,6.57,-1.63,549.5,1.95,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-01-09,0.0,208.19,12.63,0.5,633.49,3.72,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-01-10,2.98,166.12,9.33,-1.25,557.87,4.6,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-01-11,0.0,174.63,3.28,-5.48,410.24,3.48,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-01-12,13.57,72.93,0.57,-3.89,459.59,3.05,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-01-13,0.0,209.47,3.66,-7.43,355.42,2.56,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-01-14,0.0,183.67,0.02,-8.94,306.96,2.13,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-01-15,8.59,72.65,-6.7,-10.88,267.22,1.8,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-01-16,0.0,153.43,-5.01,-11.89,240.0,1.54,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-01-17,0.0,244.36,-6.89,-20.43,120.0,1.36,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-01-18,4.99,208.82,-3.11,-21.55,111.0,1.31,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-01-19,8.32,198.04,1.93,-13.59,219.13,1.32,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-01-20,0.08,259.3,-1.86,-15.92,178.37,1.2,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-01-21,0.0,220.46,-13.09,-23.2,98.32,0.96,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-01-22,0.0,238.75,-12.57,-23.68,97.2,0.9,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-01-23,0.23,267.88,-5.0,-18.55,146.03,1.0,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-01-24,0.0,269.77,-4.19,-17.65,159.16,1.03,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-01-25,0.0,272.61,-9.19,-22.9,92.62,0.96,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-01-26,0.0,271.69,-8.76,-21.96,115.11,0.92,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-01-27,0.0,279.76,-7.05,-20.54,125.26,0.91,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-01-28,0.0,292.73,-4.85,-19.52,137.13,0.88,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-01-29,0.0,294.23,-1.54,-16.36,170.84,0.89,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-01-30,0.99,295.28,2.11,-12.8,234.07,0.88,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-01-31,3.18,234.66,3.21,-11.57,255.13,0.94,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-02-01,0.0,244.18,-5.9,-15.99,179.97,1.0,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-02-02,23.65,200.25,-3.03,-14.09,211.99,1.0,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-02-03,0.0,129.99,-2.03,-6.55,378.62,1.0,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-02-04,0.0,148.92,-1.58,-6.57,374.09,0.87,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-02-05,6.83,205.73,0.83,-9.74,292.32,0.85,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-02-06,3.17,142.85,1.79,-4.01,452.45,0.87,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-02-07,8.92,194.89,-0.45,-9.89,289.24,0.91,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-02-08,0.81,117.86,-7.64,-10.96,279.76,0.89,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-02-09,2.85,283.43,-4.44,-18.24,156.03,0.87,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-02-10,5.9,269.06,-2.52,-17.96,147.98,0.89,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-02-11,5.0,254.53,-1.76,-15.44,186.07,0.88,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-02-12,0.0,199.74,-12.79,-19.02,140.22,0.84,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-02-13,9.98,247.91,-6.88,-18.67,142.48,0.89,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-02-14,23.96,204.96,-1.45,-10.27,280.0,1.12,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-02-15,1.03,286.62,-3.95,-13.12,226.79,1.43,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-02-16,0.05,415.64,-0.25,-18.93,132.23,1.3,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-02-17,0.0,378.91,-9.01,-22.75,102.31,1.15,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-02-18,7.72,327.01,1.26,-19.93,131.23,1.2,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-02-19,3.31,238.86,6.45,-3.85,458.53,1.61,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-02-20,0.0,384.82,1.12,-12.5,237.38,1.93,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-02-21,0.0,389.39,-7.07,-20.33,118.05,1.65,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-02-22,0.0,414.23,-9.76,-24.64,78.45,1.44,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-02-23,3.29,326.78,-7.64,-23.51,96.88,1.31,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-02-24,0.0,444.51,-2.45,-19.69,132.51,1.21,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-02-25,0.0,440.18,0.73,-16.31,162.51,1.12,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-02-26,0.0,446.37,2.89,-14.11,210.3,1.05,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-02-27,16.96,157.27,-0.12,-5.78,398.72,1.06,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-02-28,0.88,377.07,-1.54,-13.13,225.72,1.03,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-02-29,0.0,490.02,-9.16,-28.84,48.83,0.97,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-03-01,4.17,376.53,-8.15,-29.24,59.68,0.93,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-03-02,10.58,252.77,-1.94,-11.21,260.01,0.89,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-03-03,0.0,456.75,-4.08,-19.02,136.49,0.86,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-03-04,0.0,509.66,5.32,-15.78,178.82,0.84,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-03-05,8.11,347.16,6.49,-9.38,298.94,0.95,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-03-06,6.22,245.8,-2.18,-11.43,254.19,1.13,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-03-07,0.0,476.78,3.34,-12.76,229.2,1.07,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-03-08,8.71,347.51,6.15,-9.77,297.13,1.22,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-03-09,37.4,221.36,3.2,-5.03,435.96,3.4,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-03-10,0.0,370.96,-2.83,-13.27,221.64,4.52,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-03-11,0.0,378.29,-6.12,-16.8,160.0,4.02,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-03-12,0.0,500.61,0.42,-15.83,182.34,3.53,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-03-13,0.0,489.08,1.33,-14.41,203.62,3.05,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-03-14,0.95,443.42,-1.22,-14.22,210.36,2.67,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-03-15,1.26,271.9,0.2,-6.85,366.89,2.37,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-03-16,1.0,278.3,1.67,-5.51,409.01,2.1,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-03-17,0.0,397.94,2.67,-8.08,336.79,1.92,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-03-18,0.0,506.58,0.19,-14.77,197.02,1.75,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-03-19,0.0,560.87,4.64,-14.34,208.84,1.53,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-03-20,21.84,121.97,-0.4,-4.08,456.62,1.58,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-03-21,2.6,366.77,0.3,-10.54,271.07,1.65,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-03-22,0.0,242.36,-6.83,-12.24,243.27,1.54,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-03-23,0.0,362.4,-3.63,-11.94,248.26,1.43,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-03-24,0.0,578.26,-3.97,-20.74,122.64,1.35,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-03-25,0.0,614.74,-1.1,-21.01,119.1,1.31,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-03-26,2.05,596.19,0.88,-18.23,150.59,1.35,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-03-27,0.01,549.23,5.15,-9.62,298.38,1.34,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-03-28,0.62,511.5,5.11,-8.95,314.7,1.43,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-03-29,3.65,327.77,-0.24,-10.69,274.37,1.4,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-03-30,0.0,329.16,-5.72,-12.68,235.58,1.28,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-03-31,0.0,617.31,5.07,-12.82,232.24,1.27,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-04-01,2.21,455.31,2.25,-9.3,305.89,1.33,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-04-02,5.05,411.84,9.27,-4.19,451.85,1.57,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-04-03,0.0,289.55,0.2,-5.49,410.79,2.29,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-04-04,0.0,559.31,6.09,-7.08,362.1,2.44,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-04-05,15.11,346.03,4.02,-5.96,397.08,2.4,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-04-06,0.1,314.6,4.99,-1.01,569.42,2.84,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-04-07,0.0,459.45,4.73,-4.42,445.25,3.56,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-04-08,0.0,585.65,8.0,-5.63,411.46,4.82,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-04-09,0.0,607.81,9.4,-5.35,410.87,6.13,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-04-10,0.0,639.18,13.2,-3.81,465.34,8.27,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-04-11,0.0,510.68,7.73,-2.95,499.15,10.55,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
2008-04-12,8.82,365.98,7.61,-2.32,521.8,11.19,2,3.195451469902007,2.0352718152123193,10.474284881007932,-1.5011420905272983
